Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
6720,HOUSE,EXCEPTIONAL_PROPERTY,495000.0,3.0,143.0,1,1,4.0,1,5102.0,1,,0,BUY_REGULAR,AS_NEW,0,20368090,758.0,5233.0
3680,HOUSE,HOUSE,749000.0,4.0,405.0,1,0,2.0,0,,1,81.0,0,BUY_REGULAR,AS_NEW,0,20279876,2311.0,270.0
1300,APARTMENT,APARTMENT,155000.0,1.0,63.0,1,0,2.0,0,,0,,0,BUY_REGULAR,GOOD,0,20370356,,
3511,APARTMENT,APARTMENT,280000.0,2.0,89.0,0,0,,0,,1,49.0,0,BUY_REGULAR,GOOD,0,20369121,1100.0,
3740,APARTMENT,APARTMENT,467500.0,3.0,170.0,1,0,,0,,1,5.0,0,BUY_REGULAR,GOOD,0,20365223,951.0,
6800,HOUSE,FARMHOUSE,189000.0,3.0,140.0,0,0,4.0,1,2000.0,1,20.0,0,BUY_REGULAR,TO_RENOVATE,0,20368042,416.0,2719.0
1410,HOUSE,HOUSE,595000.0,5.0,280.0,1,0,4.0,1,750.0,1,27.0,0,BUY_REGULAR,TO_RENOVATE,0,20368310,,750.0
6200,HOUSE,HOUSE,269000.0,4.0,175.0,1,0,3.0,1,134.0,1,20.0,0,BUY_REGULAR,JUST_RENOVATED,0,20364945,446.0,211.0
3530,APARTMENT,APARTMENT,295000.0,3.0,140.0,1,0,,0,,0,,0,BUY_REGULAR,GOOD,0,20368266,,
6700,APARTMENT,APARTMENT,269000.0,2.0,88.0,1,0,2.0,0,,1,5.0,0,BUY_REGULAR,GOOD,0,20361330,,
6800,HOUSE,HOUSE,329000.0,4.0,140.0,1,0,4.0,1,700.0,1,30.0,0,BUY_REGULAR,TO_BE_DONE_UP,0,20365218,1003.0,981.0
6000,HOUSE,HOUSE,120000.0,2.0,85.0,1,0,2.0,1,73.0,1,10.0,0,BUY_REGULAR,TO_BE_DONE_UP,0,20371905,356.0,173.0
5377,HOUSE,HOUSE,380000.0,3.0,248.0,1,0,4.0,1,836.0,0,,0,BUY_REGULAR,GOOD,0,20365513,,836.0
9300,HOUSE,HOUSE,349000.0,3.0,186.0,1,0,2.0,0,,1,,0,BUY_REGULAR,GOOD,0,20371921,1085.0,213.0
9308,HOUSE,HOUSE,325000.0,3.0,149.0,1,0,2.0,0,,1,,0,BUY_REGULAR,,0,20371922,339.0,113.0
1300,HOUSE,HOUSE,460000.0,4.0,173.0,1,1,4.0,1,173.0,1,30.0,0,BUY_REGULAR,GOOD,0,20265114,,662.0
7750,HOUSE,HOUSE,525000.0,4.0,201.0,0,0,4.0,0,,1,,0,BUY_REGULAR,GOOD,0,20368744,779.0,1250.0
6800,HOUSE,HOUSE,279000.0,3.0,150.0,1,0,4.0,1,500.0,1,40.0,0,BUY_REGULAR,TO_BE_DONE_UP,0,20362762,587.0,610.0
1341,HOUSE,HOUSE,300000.0,3.0,170.0,0,0,4.0,1,1000.0,1,30.0,0,BUY_REGULAR,TO_RENOVATE,0,20367143,,1300.0
4141,HOUSE,CHALET,62000.0,1.0,32.0,0,0,4.0,0,,1,,0,BUY_REGULAR,TO_RENOVATE,0,20371914,220.0,201.0
4520,HOUSE,HOUSE,350000.0,4.0,200.0,1,0,3.0,0,,1,,0,BUY_REGULAR,GOOD,0,20371913,,731.0
7000,APARTMENT,FLAT_STUDIO,100000.0,,25.0,0,0,2.0,0,,0,,0,BUY_REGULAR,GOOD,0,20371910,,
6000,APARTMENT,APARTMENT,69000.0,2.0,69.0,1,0,2.0,0,,1,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20371915,1105.0,
9400,HOUSE,HOUSE,285000.0,2.0,166.0,0,0,3.0,0,,1,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20371906,510.0,300.0
5002,HOUSE,HOUSE,295000.0,4.0,144.0,0,0,2.0,1,128.0,0,,0,BUY_REGULAR,GOOD,0,20138108,815.0,
1150,HOUSE,HOUSE,990000.0,7.0,305.0,1,0,4.0,1,1.0,1,,0,BUY_REGULAR,TO_RENOVATE,0,20371904,,520.0
5590,APARTMENT,TRIPLEX,275000.0,3.0,140.0,1,0,2.0,0,,1,,0,BUY_REGULAR,GOOD,0,20371902,1046.0,
8820,HOUSE,VILLA,395000.0,3.0,234.0,1,0,4.0,0,,1,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20371900,985.0,843.0
7300,HOUSE,HOUSE,150000.0,4.0,316.0,0,0,2.0,0,,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20371901,2032.0,320.0
3320,HOUSE,HOUSE,349000.0,3.0,170.0,1,0,4.0,1,105.0,1,70.0,0,BUY_REGULAR,GOOD,0,20371897,678.0,500.0
8300,APARTMENT,APARTMENT,1175000.0,3.0,89.0,0,0,2.0,0,,0,,0,BUY_REGULAR,AS_NEW,0,20371896,,
2200,APARTMENT,GROUND_FLOOR,275000.0,2.0,90.0,1,0,,0,,1,,0,BUY_REGULAR,,0,20371895,992.0,
2200,HOUSE,HOUSE,265000.0,4.0,140.0,0,0,4.0,0,,0,,0,BUY_REGULAR,,0,20371894,743.0,608.0
7803,HOUSE,VILLA,549000.0,4.0,283.0,1,0,4.0,0,,1,,0,BUY_REGULAR,JUST_RENOVATED,0,20371889,918.0,1400.0
2400,HOUSE,HOUSE,139000.0,3.0,62.0,0,0,2.0,1,165.0,0,,0,BUY_REGULAR,,0,20371890,213.0,193.0
1050,APARTMENT,APARTMENT,490000.0,2.0,102.0,1,0,4.0,0,,0,,0,BUY_REGULAR,JUST_RENOVATED,0,20371893,2342.0,
